"name"	"country_code"	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
"Liechtenstein"	438	36	37	38	39	40	40	41	41	41	41	40	40	40	39	38	37	36	35	34
"Luxembourg"	442	508	539	568	594	616	635	647	653	653	650	644	637	627	616	604	589	573	555	536
"Monaco"	492	37	38	39	40	42	43	44	45	46	47	48	49	49	50	50	49	49	47	46
"Netherlands"	528	16615	16725	16783	16782	16713	16556	16308	15990	15619	15230	14846	14487	14136	13808	13478	13097	12703	12327	11909
"Switzerland"	756	7831	8172	8488	8787	9048	9282	9495	9685	9848	9966	10032	10053	10040	9968	9856	9694	9479	9207	8907
"LATIN AMERICA AND THE CARIBBEAN"	904	596191	624549	649575	671160	688249	700850	708926	712458	711246	705866	696888	683577	669161	650692	631120	609703	588462	566211	544041
"Caribbean"	915	41625	42687	43536	44114	44455	44471	44147	43521	42523	41305	39938	38438	36860	35230	33582	32043	30514	28955	27560
"Anguilla"	660	14	14	15	15	15	14	14	13	13	12	11	10	10	9	8	7	7	6	5
"Antigua and Barbuda"	28	87	90	93	96	98	99	99	98	96	94	91	88	85	81	78	73	69	65	61
"Aruba"	533	102	103	103	102	101	98	95	90	86	81	76	72	67	63	58	54	49	45	40
"Bahamas"	44	360	382	398	409	417	422	423	421	416	410	401	390	378	365	351	335	319	305	288
"Barbados"	52	280	285	290	293	295	294	292	289	286	282	277	273	268	262	257	250	243	237	230
"British Virgin Islands"	92	27	28	29	30	30	31	30	30	30	29	28	27	26	25	24	22	21	20	19
"Caribbean Netherlands"	535	18	20	21	22	22	22	21	21	20	19	19	18	17	16	15	15	14	13	12
"Cayman Islands"	136	56	60	62	64	64	64	64	63	61	59	57	55	54	52	51	49	48	46	45
"Cuba"	192	11282	11126	10886	10556	10178	9732	9214	8590	7903	7161	6415	5707	5042	4444	3892	3374	2911	2509	2176
"Curacao"	531	148	163	167	169	169	167	163	159	153	147	140	134	127	121	114	108	101	95	89
"Dominica"	212	71	72	72	72	72	70	69	66	64	61	58	55	52	49	45	42	38	35	33
"Dominican Republic"	214	10017	10478	10863	11145	11330	11414	11375	11241	11007	10695	10338	9936	9495	8988	8506	7994	7446	6888	6406
"Grenada"	308	105	105	104	102	99	95	89	83	76	70	65	61	56	51	47	43	40	37	34
"Guadeloupe"	312	459	464	467	467	464	457	447	433	415	396	376	357	339	321	303	286	267	250	234
"Haiti"	332	9896	10390	10793	11117	11341	11505	11543	11480	11284	11051	10710	10264	9801	9298	8784	8272	7727	7242	6816
"Jamaica"	388	2741	2770	2782	2772	2732	2661	2560	2433	2285	2133	1969	1806	1643	1490	1333	1181	1044	928	827
"Martinique"	474	401	401	400	396	391	383	371	357	340	321	303	285	268	253	238	223	207	192	177
"Montserrat"	500	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	3	3
"Puerto Rico"	630	3710	3633	3574	3519	3454	3374	3277	3160	3030	2885	2722	2553	2390	2207	2026	1855	1685	1529	1382
"Saint Kitts and Nevis"	659	52	55	56	57	58	58	58	57	56	54	52	50	48	45	42	40	37	35	32
"Saint Lucia"	662	177	182	186	188	188	187	183	179	173	166	159	150	141	131	122	112	103	94	86
"Saint Vincent and the Grenadines"	670	109	108	106	104	102	100	98	95	92	88	84	79	75	70	65	60	55	51	47
"Sint Maarten (Dutch part)"	534	43	46	50	52	54	54	55	54	53	51	49	47	45	43	41	38	36	33	30
"Trinidad and Tobago"	780	1328	1328	1308	1269	1218	1160	1094	1020	939	855	773	691	615	545	477	419	369	324	284
"Turks and Caicos Islands"	796	31	34	36	37	38	38	38	37	36	35	33	31	29	27	25	24	22	20	18
"United States Virgin Islands"	850	106	106	105	103	100	98	95	92	89	87	84	81	79	77	74	72	69	66	63
"Central America"	916	160546	169627	177670	184802	190598	194801	197281	198514	197999	196391	193477	189205	184077	177823	171075	163715	156551	148226	140028
"Belize"	84	309	341	371	399	424	445	464	478	487	494	495	492	487	478	465	451	432	412	393
