"name"	"country_code"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"Northern Europe"	924	100668	102039	102852	103392	103607	103550	103192	102461	101276	99749	98000	96088	93965	91561	88869	85953	82862	79614
"Channel Islands"	830	162	164	165	165	165	164	162	159	155	151	147	142	137	131	126	119	113	106
"Denmark"	208	5620	5664	5693	5715	5721	5707	5673	5622	5557	5484	5407	5323	5225	5108	4969	4813	4645	4472
"Estonia"	233	1269	1233	1192	1149	1106	1065	1022	976	928	880	832	784	739	695	655	617	582	549
"Faeroe Islands"	234	49	49	50	50	50	49	48	47	46	44	43	42	41	39	38	36	34	33
"Finland"	246	5420	5435	5419	5382	5321	5240	5144	5041	4931	4819	4705	4585	4453	4307	4150	3987	3819	3649
"Iceland"	352	334	347	357	364	369	371	371	367	360	353	344	334	323	311	299	285	272	258
"Ireland"	372	4682	4850	4973	5074	5161	5235	5286	5304	5282	5225	5143	5045	4938	4825	4706	4576	4428	4263
"Isle of Man"	833	86	88	89	90	90	90	89	88	87	85	83	80	78	75	72	69	66	63
"Latvia"	428	2014	1929	1838	1756	1674	1597	1522	1448	1373	1299	1226	1157	1090	1028	972	919	870	823
"Lithuania"	440	2971	2869	2762	2654	2546	2435	2321	2204	2085	1964	1844	1725	1610	1502	1404	1315	1234	1159
"Norway"	578	5103	5299	5431	5552	5653	5732	5788	5823	5831	5818	5788	5743	5680	5593	5481	5345	5191	5021
"Sweden"	752	9620	9835	10021	10177	10302	10414	10518	10609	10664	10684	10674	10640	10574	10466	10311	10116	9889	9634
"United Kingdom"	826	63338	64276	64864	65265	65449	65452	65247	64773	63977	62943	61764	60487	59077	57479	55688	53756	51720	49585
"Southern Europe"	925	154872	153462	151083	148470	145657	142468	138608	133934	128464	122483	116338	110296	104510	99020	93795	88754	83819	78977
"Albania"	8	3169	3167	3147	3115	3054	2957	2830	2683	2530	2376	2221	2061	1894	1721	1550	1391	1253	1140
"Andorra"	20	80	82	83	84	86	86	86	85	84	82	79	77	74	72	69	66	63	60
"Bosnia and Herzegovina"	70	3787	3703	3600	3490	3365	3220	3058	2886	2710	2536	2361	2184	2004	1824	1651	1492	1353	1236
"Croatia"	191	4221	4098	3958	3816	3668	3508	3335	3152	2967	2786	2609	2434	2262	2096	1940	1794	1659	1536
"Gibraltar"	292	29	29	28	28	27	26	25	24	23	22	20	19	18	17	16	15	14	13
"Greece"	300	11037	10861	10671	10471	10268	10050	9790	9474	9104	8705	8298	7901	7523	7164	6821	6485	6147	5808
"Holy See"	336	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Italy"	380	60669	60217	59344	58425	57457	56381	55090	53523	51647	49572	47456	45429	43544	41768	40022	38254	36452	34627
"Malta"	470	428	426	422	414	405	393	380	366	352	336	321	304	286	268	249	231	214	198
"Montenegro"	499	616	606	591	574	555	533	508	481	453	426	398	370	342	315	289	265	243	224
"Portugal"	620	10522	10362	10150	9927	9691	9422	9101	8722	8294	7839	7374	6910	6455	6016	5597	5193	4801	4425
"San Marino"	674	32	32	32	32	31	31	30	30	29	28	27	25	24	23	22	21	19	18
"Serbia"	688	9340	8960	8540	8103	7637	7138	6609	6064	5523	4989	4465	3956	3470	3021	2618	2269	1975	1737
