"name"	"country_code"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Maldives"	462	74.39	74.89	75.44	75.98	76.55	77.15	77.70	78.29	78.85	79.43	79.96	80.52	81.07	81.53	82.00	82.41	82.81	83.16
"Mali"	466	51.78	51.85	52.03	52.18	52.33	52.53	52.69	52.89	53.09	53.25	53.45	53.65	53.81	54.01	54.13	54.33	54.50	54.74
"Malta"	470	75.65	75.85	76.26	76.76	77.31	77.86	78.38	78.85	79.24	79.70	80.06	80.43	80.81	81.19	81.54	81.92	82.27	82.62
"Martinique"	474	76.60	77.13	77.64	78.14	78.62	79.08	79.53	79.95	80.36	80.77	81.16	81.53	81.91	82.28	82.64	83.00	83.33	83.70
"Mauritania"	478	57.58	57.24	57.07	57.04	57.07	57.05	57.12	57.20	57.28	57.42	57.51	57.64	57.81	57.98	58.05	58.22	58.37	58.53
"Mauritius"	480	68.26	68.12	68.23	68.41	68.74	69.05	69.47	69.86	70.36	70.84	71.38	71.91	72.43	73.01	73.60	74.20	74.80	75.38
"Mayotte"	175	74.34	75.06	75.84	76.50	77.05	77.56	78.02	78.47	78.95	79.37	79.78	80.21	80.63	81.02	81.41	81.78	82.15	82.53
"Mexico"	484	73.06	73.32	73.77	74.30	74.91	75.55	76.20	76.83	77.51	78.15	78.75	79.30	79.80	80.27	80.71	81.12	81.52	81.91
"Micronesia (Fed. States of)"	583	65.81	65.27	64.91	64.70	64.51	64.39	64.31	64.25	64.19	64.18	64.22	64.25	64.31	64.35	64.43	64.52	64.54	64.68
"Mongolia"	496	61.24	61.23	61.36	61.58	61.87	62.18	62.45	62.79	63.12	63.51	63.88	64.24	64.66	65.05	65.45	65.89	66.37	66.74
"Montenegro"	499	70.49	70.14	69.99	69.95	69.92	69.99	70.05	70.15	70.31	70.48	70.71	70.90	71.11	71.38	71.60	71.89	72.15	72.44
"Morocco"	504	66.68	66.47	66.41	66.40	66.42	66.48	66.56	66.66	66.74	66.86	66.90	67.05	67.19	67.30	67.43	67.58	67.76	67.94
"Myanmar"	104	60.71	60.48	60.45	60.51	60.61	60.76	60.96	61.14	61.32	61.58	61.79	61.99	62.26	62.53	62.76	63.01	63.28	63.54
"Nepal"	524	64.39	64.75	65.13	65.38	65.68	65.89	66.13	66.37	66.58	66.82	67.04	67.25	67.50	67.76	67.98	68.26	68.54	68.74
"Netherlands"	528	77.30	77.48	77.83	78.23	78.63	79.00	79.36	79.72	80.04	80.39	80.72	81.02	81.35	81.67	81.98	82.28	82.61	82.89
"New Caledonia"	540	71.68	71.89	72.34	72.82	73.39	74.04	74.72	75.38	76.06	76.70	77.35	77.93	78.48	78.96	79.42	79.84	80.26	80.65
"New Zealand"	554	77.48	77.73	78.09	78.52	78.93	79.34	79.73	80.09	80.48	80.84	81.23	81.59	81.95	82.33	82.70	83.06	83.43	83.77
"Nicaragua"	558	69.45	69.91	70.45	71.05	71.65	72.31	72.92	73.61	74.26	74.94	75.61	76.25	76.85	77.46	78.04	78.56	79.04	79.45
"Niger"	562	54.99	55.36	55.66	55.83	55.95	56.05	56.11	56.20	56.21	56.25	56.23	56.30	56.32	56.39	56.35	56.35	56.37	56.38
"Norway"	578	77.66	77.91	78.25	78.58	78.89	79.21	79.51	79.80	80.11	80.42	80.71	81.01	81.30	81.58	81.87	82.16	82.46	82.72
"Oman"	512	72.68	73.12	73.69	74.34	75.04	75.78	76.51	77.22	77.99	78.70	79.32	79.94	80.45	80.94	81.39	81.81	82.21	82.56
"Other non-specified areas"	158	74.73	75.13	75.67	76.26	76.84	77.36	77.83	78.27	78.66	79.08	79.46	79.84	80.17	80.52	80.86	81.18	81.53	81.85
"Pakistan"	586	63.39	63.10	62.96	62.93	63.00	63.02	63.10	63.25	63.34	63.49	63.61	63.80	63.96	64.15	64.36	64.58	64.82	65.04
